name,description,current_price,active,category
BodyEra Performance Tee,Lightweight moisture-wicking training shirt designed for gym sessions and everyday wear.,34.99,true,T-Shirts
BodyEra Core Training Tee,Soft athletic shirt with a flexible fit for strength training and cardio workouts.,32.99,true,T-Shirts
BodyEra Oversized Pump Cover,"Relaxed oversized shirt designed for warm-ups, lifting sessions, and casual wear.",39.99,true,T-Shirts
BodyEra Dry-Fit Logo Tee,Breathable quick-dry shirt featuring a clean BodyEra logo design.,36.99,true,T-Shirts
BodyEra Essential Everyday Tee,"Comfortable cotton-blend shirt suitable for training, travel, and daily use.",29.99,true,T-Shirts
BodyEra Compression Training Tee,Close-fitting performance shirt designed to support unrestricted movement.,42.99,true,T-Shirts
BodyEra Heritage Graphic Tee,Athletic lifestyle shirt featuring a bold BodyEra heritage graphic.,37.99,true,T-Shirts
BodyEra Minimal Logo Tee,Clean and versatile training shirt with a small chest logo.,31.99,true,T-Shirts
BodyEra Powerlifting Club Tee,Durable gym shirt inspired by strength training and powerlifting culture.,38.99,true,T-Shirts
BodyEra Velocity Training Tee,Lightweight performance top built for high-intensity workouts.,35.99,true,T-Shirts
BodyEra Classic BodyEra Tee,Signature BodyEra shirt with a comfortable athletic fit.,33.99,true,T-Shirts
BodyEra Recovery Day Tee,Soft relaxed-fit shirt designed for rest days and casual wear.,30.99,true,T-Shirts
BodyEra Strength Division Tee,Performance shirt featuring a strength-focused graphic design.,37.99,true,T-Shirts
BodyEra Athlete Series Tee,Versatile athletic shirt created for training and everyday performance.,36.99,true,T-Shirts
BodyEra Endurance Training Tee,Breathable workout shirt made for longer training sessions.,35.99,true,T-Shirts
BodyEra Founders Edition Tee,Limited-style shirt celebrating the launch of BodyEra Fitness.,41.99,true,T-Shirts
BodyEra Monochrome Logo Tee,Minimal black-and-white logo shirt with an athletic cut.,34.99,true,T-Shirts
BodyEra Heavyweight Training Tee,Thicker premium shirt designed for durability and structure.,44.99,true,T-Shirts
BodyEra Essential Pullover Hoodie,"Warm heavyweight pullover hoodie designed for training, travel, and recovery.",69.99,true,Hoodies
BodyEra Performance Zip Hoodie,Full-zip athletic hoodie with a comfortable and flexible fit.,74.99,true,Hoodies
BodyEra Oversized Training Hoodie,Relaxed oversized hoodie ideal for warm-ups and casual wear.,79.99,true,Hoodies
BodyEra Core Logo Hoodie,Classic BodyEra hoodie featuring a clean front logo.,67.99,true,Hoodies
BodyEra Heavyweight Pump Cover Hoodie,Premium heavyweight hoodie designed for strength training culture.,84.99,true,Hoodies
BodyEra Tech Fleece Hoodie,Lightweight insulated hoodie built for active movement and cooler weather.,89.99,true,Hoodies
BodyEra Strength Division Hoodie,Warm training hoodie featuring a bold strength-inspired design.,76.99,true,Hoodies
BodyEra Minimalist Zip Hoodie,Simple full-zip hoodie with subtle BodyEra branding.,72.99,true,Hoodies
